"Season","Period","URL","Datetime","Tweet Id","Text","Username","Replies","Retweets","Likes","Location","Followers","Friends","Source"
"season19/20","period1","https://twitter.com/voetbalflitsen/status/1198385598429630469","2019-11-23 23:39:26+00:00","1198385598429630469","PROGRAMMA, #EREDIVISIE-ZONDAG
#FCGroningen-#Feyenoord
#PSV-#scHeerenveen
#RKC-#FCEmmen
#Sparta-#Vitesse
#VVV-#FCTwente

#grofey #psvhee #rkcemm #spavit #vvvtwe https://t.co/9Iskk9uWZn","voetbalflitsen","0","2","0","","103669","328","<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>"
"season19/20","period1","https://twitter.com/pimr/status/1198385170946150401","2019-11-23 23:37:44+00:00","1198385170946150401","Mafketel #VanBasten met een 'Sieg Heil'. Wat een pannenkoek. Ontslaan op staande voet #FoxSports aub. #HeraclesAlmelo #Wormuth #Heracles #siegheil","pimr","2","0","2","","21","336","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season19/20","period1","https://twitter.com/MarcelKokBeilen/status/1198381221337845760","2019-11-23 23:22:02+00:00","1198381221337845760","Neil Diamond - Sweet Caroline Lyrics https://t.co/7DSHSSlrqD via @YouTube #fcemmen 💪🏻👌🏻⚽️👍🏻⚽️🎶","MarcelKokBeilen","0","0","1","","624","3193","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season19/20","period1","https://twitter.com/Robin_Lamberink/status/1198376681255428102","2019-11-23 23:04:00+00:00","1198376681255428102","MATCHDAY ! 
#VVVVenlo  - #FCTwente !
#COTE #FCT #vvvtwe https://t.co/GqBI0qLq9K","Robin_Lamberink","0","0","1","","269","491","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season19/20","period1","https://twitter.com/fctwente/status/1198376601362280454","2019-11-23 23:03:41+00:00","1198376601362280454","😏 𝕀𝕋’𝕊 𝕋ℍ𝔸𝕋 𝕋𝕀𝕄𝔼 𝔸𝔾𝔸𝕀ℕ
🔴 𝙈𝘼𝙏𝘾𝙃𝘿𝘼𝙔
🤛🏻 𝙻𝙴𝚃’𝚂 𝙶𝙾 𝙱𝙾𝚈𝚂!

#fctwente #vvvtwe https://t.co/hHwqLZaVUH","fctwente","1","6","71","Enschede","124877","96","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season19/20","period1","https://twitter.com/CalienteBooksMX/status/1198375674865692673","2019-11-23 23:00:00+00:00","1198375674865692673","¡A salir del bache! 🔥⚽ #PSV recibe al #Heerenveen, en busca de sacudirse la mala racha en la que cayeron en las últimas semanas en todas las competiciones ¡Ven al Book, apuesta y diviértete! https://t.co/b4eR61hFBB","CalienteBooksMX","0","0","0","Tijuana, Baja California","3361","603","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season19/20","period1","https://twitter.com/NicoroBianchi/status/1198371073835905025","2019-11-23 22:41:43+00:00","1198371073835905025","アヤックス vs ヘラクレス🇳🇱⚽️
Ajax vs Heracles🇳🇱⚽️
#Eredivisie #ajax #heracles #エールディビジ #初観戦 

Special thanks @kjellafca1900 ✨👏🏻 場所: Johan Cruijff ArenA https://t.co/MyNccM8qMT","NicoroBianchi","0","0","2","TOKYO","937","559","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
"season19/20","period1","https://twitter.com/Visschtales/status/1198371034380021760","2019-11-23 22:41:33+00:00","1198371034380021760","Wat heeft @FerdiDelies toch een mooi boek geschreven: Van gammel hek naar stevig beton. Ga dat lezen! Zou bij iedereen die van voetbal houdt in de boekenkast moeten staan. #fcgroningen https://t.co/wisVc9SThN","Visschtales","1","2","18","Grunneger in Roffa","6574","809","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season19/20","period1","https://twitter.com/AfricaEstadio/status/1198367024952598528","2019-11-23 22:25:37+00:00","1198367024952598528","Tres goles marroquíes en la #Eredivisie de #Holanda

Oussama Idrissi🇲🇦 #AZAlkmaar
Zakaria Labyad🇲🇦 #Ajax
Iliass Bel Hassani🇲🇦 #Zwolle https://t.co/Gsmp3okh8d","AfricaEstadio","0","0","0","","117","127","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"season19/20","period1","https://twitter.com/fcutrecht/status/1198366191196221440","2019-11-23 22:22:19+00:00","1198366191196221440","🗨 Mark van der Maarel over de nederlaag tegen AZ.

🎙 'Hadden in balbezit meer kunnen brengen' 

#fcutrecht #utraz #eredivisie #interview https://t.co/bcaBsY1uu2","fcutrecht","1","0","10","Stadion Galgenwaard, Utrecht","75954","44","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
